Date/Time,Latitude,Longitude,Pressure,Wind Speed
(UTC),(��_��__N),(��_��__W),(mb),(kt)
23 / 1800,23.1,75.1,1008,30
23 / 1900,23.14,75.19,1007.86,30
23 / 2000,23.19,75.27,1007.71,30
23 / 2100,23.23,75.36,1007.57,30
23 / 2200,23.27,75.44,1007.43,30
23 / 2300,23.31,75.53,1007.29,30
23 / 2400,23.36,75.61,1007.14,30
24 / 0000,23.4,75.7,1007,30
24 / 0100,23.47,75.78,1007,30
24 / 0200,23.53,75.87,1007,30
24 / 0300,23.6,75.95,1007,30
24 / 0400,23.67,76.03,1007,30
24 / 0500,23.73,76.12,1007,30
24 / 0600,23.8,76.2,1007,30
24 / 0700,23.92,76.25,1007.17,30
24 / 0800,24,76.3,1007.33,30
24 / 0900,24.15,76.35,1007.5,30
24 / 1000,24.26,76.4,1007.67,30
24/ 1100,24.38,76.45,1007.83,30
24 / 1200,24.5,76.5,1006,35
24/ 1300,24.65,76.57,1005.5,35.83
24 / 1400,24.8,76.63,1005,69.67
24 / 1500,24.95,76.7,1004.5,37.5
24 / 1600,25.1,76.77,1004,38.33
24 /  1700,25.25,76.83,1003.5,39.17
24 / 1800,25.4,76.9,1003,40
24 / 1900,25.49,77.01,1002.57,40.71
24/ 2000,25.57,77.13,1002.14,41.43
24/ 2100,25.66,77.24,1001.71,42.14
24/ 2200,25.74,77.36,1001.29,42.86
24/ 2300,25.83,77.47,1000.86,43.57
24 / 2400,25.91,77.59,1000.43,44.29
25 / 0000,26,77.7,1000,45
25 / 0100,26.01,77.82,1000,45.83
25 / 0200,26.03,77.93,99.5,46.67
25 / 0300,26.05,78.05,998.5,47.5
25 / 0400,26.06,78.17,998,48.33
25/ 0500,26.08,78.28,997.5,49.17
25 / 0600,26.1,78.4,997,50
25 / 0700,26.12,78.4,998.44,50.83
25/ 0800,26.13,78.52,999.88,51.67
25/ 0900,26.14,78.64,1001.32,52.5
25 / 1000,26.15,78.76,1002.76,53.33
25 / 1100,26.18,78.88,1004.2,54.17
25 / 1200,26.2,79,994,55
25 / 1300,26.2,79.1,993,55.83
